narration,amount,date,true_category
lyft parking fee,59.68,2026-02-05,Transportation
kroger purchase bread milk eggs ref#4290,166.79,2026-02-28,Groceries
consultation fee at dr smith clinic,417.16,2026-02-28,Healthcare
payment to babies r us for pacifier,50.82,2026-02-17,Baby Items
payment to amazon for furniture,82.18,2026-03-02,Shopping
safeway - bread milk eggs,128.79,2026-02-06,Groceries
taxi purchase toll ref#3551,64.4,2026-02-07,Transportation
babies r us purchase stroller,61.65,2026-02-07,Baby Items
ubereats purchase lunch,79.33,2026-02-18,Restaurants
taxi purchase transit pass,29.18,2026-02-10,Transportation
payment to bp for gas,100.0,2026-02-09,Transportation
fuel at uber,26.32,2026-02-22,Transportation
transfer to john doe 6113,325.15,2026-02-12,Unknown
nike purchase electronics,157.32,2026-02-04,Shopping
parking garage - ride to ref#9355,100.0,2026-02-11,Transportation
parking fee at parking garage ref#9385,84.64,2026-02-10,Transportation
buybuybaby - stroller ref#5353,81.23,2026-02-20,Baby Items
concert tickets at netflix,28.24,2026-02-15,Entertainment
payment to nike for electronics,347.19,2026-02-19,Shopping
payment to amc theaters for game purchase,24.62,2026-02-06,Entertainment
lab work at cvs pharmacy ref#1489,354.36,2026-02-02,Healthcare
payment to amazon for pacifier ref#4646,77.32,2026-02-25,Baby Items
starbucks - coffee,69.94,2026-02-12,Restaurants
taxi purchase fuel,51.55,2026-02-16,Transportation
crib at amazon,119.17,2026-02-12,Baby Items
costco purchase meat department ref#5341,250.0,2026-02-02,Groceries
lyft parking fee,33.38,2026-03-01,Transportation
pizza hut lunch,24.28,2026-02-15,Restaurants
whole foods grocery ref#3805,88.0,2026-02-18,Groceries
doordash - delivery,37.17,2026-02-12,Restaurants
urgent care purchase prescription pickup,268.29,2026-02-05,Healthcare
walmart deli,130.18,2026-02-16,Groceries
cable at verizon,250.11,2026-02-19,Utilities
